sigma_COD,sigma_NH4,sigma_NOx,sigma_TKN,sigma_Alkalinity,sigma_TSS
7.472023647330956,1.076056685095463,2.84153790524526,1.6955151604776812,0.8266805448640414,8.661981238587877
7.543487069400259,1.0738271740234717,2.728887212062394,1.6965661877745881,0.7962423196340812,8.699976324860515
7.323684758633689,1.0580499052975092,2.8708531959917565,1.6785060935681397,0.7959552202777277,8.67966569998466
7.350702937761082,1.0605665359184906,2.8351014835972017,1.691642910364315,0.8140156347150126,9.001700002551141
7.6080948406138,1.041842707030425,2.817723911704395,1.7004890534665875,0.7993734654471661,8.619734800863236
7.452429736797341,1.0758215521798673,2.7269994192658995,1.685392163666283,0.8051145235921159,8.68765601450675
7.5151006401055405,1.038304369258837,2.9022505274812516,1.7175681264025324,0.8049397549242767,8.777010355559545
7.4750719445068174,1.0599294375450954,2.8160913730256416,1.6616945072859757,0.8004631650836979,8.642828825773847
7.616988178985027,1.0798959089695528,2.779553265915804,1.721257077390594,0.7941854446900881,8.766337392519391
7.465236734938539,1.0439523764175762,2.7464692518234854,1.7150479923485218,0.8213711412662993,8.460314579058808
7.370552177533281,1.07820132091815,2.8245453172313453,1.667908942562374,0.8090020648621391,8.619597902635086
7.478569149475663,1.0504397940816914,2.736996491408534,1.658345407115066,0.783920132447244,8.35668931537763
7.700101021151396,1.0825731987888838,2.7898715549168918,1.6648512981359185,0.8103147955248506,8.57124701003425
7.536259712685459,1.0613051633404273,2.842745095623828,1.6314367836708237,0.7912342587548175,8.72653840720378
7.306162573833512,1.049586253393349,2.809093876975046,1.6921292650017716,0.8018416814259554,8.660728999834093
7.749588753747551,1.0704798823114496,2.800531772684286,1.6780339642737527,0.7973125956755794,9.08218327259264
7.506102243040436,1.0945534848649325,2.825162152689158,1.6964083391612532,0.7790508672094816,8.74036848049477
7.3702404472192,1.0741305250814215,2.7148710180870457,1.7121920849814956,0.8061112845790497,8.860099613698312
7.306888935028952,1.0572288802075684,2.788713041889771,1.6447640227050806,0.7941906882342019,8.710034766002728
7.486674417660701,1.0642088465997148,2.8080410599352748,1.7044610545715069,0.7912749981828868,8.478732581637624
7.463249046033465,1.0630061872278642,2.7594479954037725,1.652342744227535,0.8060662623937934,8.672687420668128
7.439309463692692,1.063984522259388,2.8387320995526153,1.646923510920816,0.7847494861663697,8.623239147019962
7.605011900100074,1.0667016254185848,2.8777147992067533,1.649871751766232,0.8062654029530293,8.663885984272826
7.665696808836074,1.0392705943581573,2.8312785615335483,1.7172619113783145,0.7961003703918935,8.75745854758527
7.223095524781953,1.0688305762324841,2.797312463071309,1.6322733486378878,0.7867875096328819,8.410125678723007
7.120284988150051,1.0584502907103772,2.8670785054771883,1.6982253664991869,0.7799070632956439,8.545094377541488
7.321221040487047,1.1003229111801691,2.8883907434067844,1.649012426180675,0.8042328145018338,8.50735519608202
7.356739317604417,1.0462623633732175,2.699803825515142,1.6530779303976961,0.8332555511267918,8.743038266114386
7.455620889392584,1.0449358443214107,2.72746388005459,1.669741877367465,0.8238594660126584,8.498014165265284
7.445961694068835,1.0500631413780515,2.8221943688334354,1.6674418509787066,0.8169172181441838,8.423004576884406
7.541694345059814,1.0611410295465538,2.794447898320685,1.6749753704841437,0.8085343562806683,8.676939669223767
7.641070210526715,1.0459216994156653,2.6854503651647637,1.7014852502811855,0.7910982007107773,8.494167585900898
7.441343557418869,1.064438369625388,2.878534817623575,1.6899909700836715,0.8410868488878289,8.580942800313577
7.200931307111032,1.0588352943240602,2.7650593817281583,1.6946416168863838,0.7804938089839979,8.665421586599866
7.392139499605146,1.057761745928053,2.7842371927304708,1.6299940181253665,0.8260600681090093,8.747428803116133
7.506552036906779,1.0621491770304874,2.938143700133264,1.639107835724461,0.8112137595476233,8.58575941153019
7.467230672523183,1.043018313224167,2.914040203980349,1.673711301346226,0.800397424866087,8.749182011886072
