sigma_COD,sigma_NH4,sigma_NOx,sigma_TKN,sigma_Alkalinity,sigma_TSS
7.329502665719928,1.0633796972239165,2.839181431522959,1.691758967828825,0.8242726150488546,8.517261863693477
7.3629680138661024,1.0595683155903166,2.8605480119994477,1.6838340010017436,0.8076529353164552,8.708252685159765
7.26923417031321,1.0309563861169624,2.94025961392237,1.637938285786757,0.8245706584139736,8.633235596941766
7.375250628252294,1.0590687716553109,2.967241933425523,1.6572426724371763,0.8117277433114869,8.487085701379979
7.220953982337021,1.0900059178018342,2.8541788185332972,1.7136718112850728,0.8216091435899171,8.607364123924127
7.555670298935792,1.045509066681114,2.829793527311297,1.6767979987167823,0.7957875180266037,8.431700789151595
7.584355258341308,1.0648155335545322,2.8609965598692653,1.6738214949276964,0.7979938250725839,8.482113329297688
7.563053776617605,1.0985983328586508,2.892324028493335,1.660307142253572,0.7916488359150795,8.463106912568719
7.483399795946434,1.059466111472208,2.916382235882219,1.6330556632383944,0.7963281555720734,8.563519803571458
7.4886245158493265,1.0581398063931262,2.9128295352069555,1.6955890094808037,0.8087846182490458,8.58303806412661
7.282249958444842,1.0468375091475262,2.8168484220904104,1.7027701467975667,0.8249541735310653,8.594374325218938
7.454944172665493,1.0637739232993084,2.7604513616231707,1.680036320416856,0.8261661419199449,8.49033242933793
7.107278218103528,1.085535991394916,2.9026938900883676,1.7032795972462862,0.7864424661861087,8.740456628135554
7.322448668902645,1.0644757880608224,2.9050924640868603,1.6840630319210566,0.7876307474883903,8.312255361531097
7.599678867726195,1.0582356102604202,2.867159702182836,1.6943972411557535,0.8200523060294087,8.492420244909828
7.556240947090997,1.0799224788786757,2.8051418949735623,1.6923968948196466,0.7810705469238034,8.814935530077221
7.2398880651681745,1.0899835479307793,2.8236995155588454,1.6746582491928268,0.7880860111147908,8.497948045138003
7.4006612898445185,1.071507953650256,2.9352176611518814,1.662883372635384,0.8011531155954095,8.633583863122626
7.371150636829783,1.0568302511793966,2.765295708097221,1.7178787511245306,0.8117524560361855,8.786888778238879
7.434918850864008,1.0628378559879033,2.886806627153167,1.7068210713054797,0.807861959604354,8.57651197637028
7.289590737522928,1.0754434964908313,2.828408792738038,1.65759502093711,0.8140565560210509,8.555661386321374
7.662813706836681,1.0536367253885262,2.741957904136422,1.6587388158625918,0.7841056305552151,8.58141837787183
7.534892878127745,1.0874098152560987,2.932925289714108,1.6453552921536034,0.8052266901985828,8.44621278260583
7.640774090232261,1.0893057013609297,2.826616903035992,1.6487752174310324,0.7919172378411095,8.449873624346726
7.230304653609205,1.0624809469083183,2.937590307079727,1.6564484000151285,0.81570544510188,8.55794490283028
7.2356573101690635,1.0897950104417602,2.856237623931988,1.6541036622329508,0.8118979869253928,8.45852243690403
7.288425756554025,1.0671075776450127,2.7986565266130454,1.6897211875079734,0.7962645672413519,8.69528565397894
7.210320261206541,1.0903230908919288,2.9230549887423427,1.7092176670743053,0.7953890655106903,8.644271914306774
7.39107841515795,1.0481976499144445,2.820463327093981,1.6798046625797687,0.8194287899563029,8.377757171242644
7.252681555334018,1.092146201924333,2.8026210522391173,1.673455915212562,0.8060450852829055,8.633789868141093
7.4805903252796915,1.0797546107655547,2.9501060933151244,1.7190504866680116,0.7994377571500514,8.785524930575246
7.295840974014801,1.0824786147924503,2.8898006854103717,1.6690845258680842,0.8154888983671391,8.514649124732452
7.4948538150630055,1.0429185856860483,2.8833769323122467,1.722468694933892,0.7996075389176899,8.642988763250793
7.269326016831164,1.0742614569324083,2.787245256765888,1.6998971712242028,0.7908636271986013,8.549661305440896
7.428624958277782,1.064961068796105,2.862224214865494,1.6204969566239316,0.7842296437965194,8.781429505042185
7.594312947764266,1.0889715491417378,2.809348453037397,1.6459465552299348,0.7878555990782518,8.642516305353611
7.527866032406516,1.0448909666229933,2.7695632737498888,1.660828500419146,0.8034083882881217,8.518897735083298
7.173039179081304,1.0954109186771677,2.8388194681524976,1.6677987535835959,0.8021406805630313,8.82757090872306
7.696589865762371,1.0792952245885266,2.9253644565070287,1.6924345184738918,0.8173477262491559,8.57760630751408
7.341582234473785,1.0655058693307886,2.9027516995530505,1.724265937158684,0.788277467631245,8.444049965443718
7.461714589573903,1.0618683270419849,2.8907399835092553,1.6738659034418026,0.7894881376290813,8.693348604208296
7.456204178264423,1.127600697196272,2.863590970151023,1.6621411277523581,0.8339663829493873,8.763840326198471
7.235543812876377,1.101343405604421,2.840203817052481,1.7153688778144653,0.802176740204004,8.976179224570027
7.34806635410343,1.0544822895043826,2.8806527175112104,1.6739542325097567,0.775789202266069,8.679161641945823
7.326861008725902,1.0452316533214843,2.87345987889634,1.6653761601701378,0.7974749873452751,8.58831948527813
7.218499944159591,1.0302599590719783,2.8254568799370494,1.6712203746192342,0.8079568621618094,8.685287887929125
7.396242765909692,1.0891460000931457,2.892716099540595,1.662932520655509,0.7932293884711199,8.569323553905827
7.475693061761176,1.0880237046753998,2.9162309086086693,1.6921914976029528,0.8170174646301683,8.588341989563691
7.580072250248265,1.0802634279194472,2.8461080444941076,1.7243517987118986,0.8021298206675227,8.724027700221887
7.4949819164629226,1.094937567942962,2.880826057942026,1.6597759823233915,0.7933358826774697,8.671142889309674
7.393053986938962,1.0989166237441217,2.8745829607085285,1.626587065987863,0.7967582047837624,8.549795223694996
7.63831514919963,1.0683038479051388,2.8659659878079897,1.7156201662351378,0.7958496575416268,8.515194427201443
7.39364400685249,1.0495703997750818,2.9349083798919775,1.6731087524708355,0.8011439537357469,8.524765025398318
7.49724284502622,1.0282805243113096,2.7893343227886658,1.6684956078986872,0.7902051127510454,8.296909405722547
7.529089544544416,1.0407486737156946,2.6891810895112163,1.7937494764833783,0.7936961711916362,8.727110730604045
7.641992797598159,1.0747645953744567,2.8377735525128465,1.7213660118289578,0.819858976828814,8.68709789641255
7.601476873197477,1.0599875025617989,2.7577048505624986,1.6704788833292477,0.8119551498946015,8.850900393502567
7.487157161728554,1.1005715129735778,2.7607359605397166,1.701717173926127,0.8010017581663751,8.300343045140908
7.515182273075906,1.0582758665456418,2.7761062225097937,1.6312454410949864,0.7941965852112927,8.671751394472015
